region,itinerary_names,num_activities,total_distance_m,total_duration_sec,total_walk_distance_m,total_transfers,walk_ratio
서울 종로구,경복궁 -> 창덕궁 -> 북촌한옥마을,3,5649,1343,1129.8000000000002,0,0.20000000000000004
서울 종로구,경복궁 -> 창덕궁 -> 창경궁,3,5123,1264,1024.6000000000001,0,0.20000000000000004
서울 종로구,경복궁 -> 창덕궁 -> 광화문,3,4063,1037,945.8,0,0.23278365739601278
서울 종로구,경복궁 -> 창덕궁 -> 광화문광장,3,4275,1281,1009.4000000000001,0,0.2361169590643275
서울 종로구,경복궁 -> 창덕궁 -> 청계천,3,5037,1482,1007.4000000000001,0,0.2
서울 종로구,경복궁 -> 창덕궁 -> 종묘,3,4177,1083,980.0,0,0.23461814699545128
서울 종로구,경복궁 -> 창덕궁 -> 청와대 사랑채,3,4897,1183,979.4000000000001,0,0.2
서울 종로구,경복궁 -> 창덕궁 -> 흥인지문,3,5833,1465,1166.6000000000001,0,0.2
서울 종로구,경복궁 -> 창덕궁 -> 인왕산,3,8173,1695,1362.5,0,0.16670745136424814
서울 종로구,경복궁 -> 창덕궁 -> 익선동한옥거리,3,3715,1042,841.4000000000001,0,0.22648721399730823
서울 종로구,경복궁 -> 창덕궁 -> 북악스카이웨이,3,8565,1730,1421.3000000000002,0,0.16594279042615298
서울 종로구,경복궁 -> 창덕궁 -> 석파정,3,7542,1619,1508.4,0,0.2
서울 종로구,경복궁 -> 창덕궁 -> 경희궁,3,5413,1536,1082.6,0,0.19999999999999998
서울 종로구,경복궁 -> 창덕궁 -> 인사동 문화의거리,3,3495,987,775.4000000000001,0,0.22185979971387698
서울 종로구,경복궁 -> 창덕궁 -> 북한산둘레길 6구간평창마을길,3,9651,2138,1584.2,1,0.16414879287120507
서울 종로구,경복궁 -> 창덕궁 -> 창덕궁 후원,3,5123,1264,1024.6000000000001,0,0.20000000000000004
서울 종로구,경복궁 -> 창덕궁 -> 서촌한옥마을,3,4810,1198,962.0,0,0.2
서울 종로구,경복궁 -> 창덕궁 -> 운현궁,3,3299,990,716.6,0,0.21721733858745074
서울 종로구,경복궁 -> 창덕궁 -> 인왕산 수성동계곡,3,5749,1410,1149.8000000000002,0,0.20000000000000004
서울 종로구,경복궁 -> 창덕궁 -> 다이나믹메이즈 서울인사동점,3,3804,1101,868.1,0,0.22820715036803366
서울 종로구,경복궁 -> 창덕궁 -> 백사실계곡,3,7970,1622,1332.0500000000002,0,0.1671329987452949
서울 종로구,경복궁 -> 창덕궁 -> 이화동 벽화마을,3,5571,1416,1114.2,0,0.2
서울 종로구,경복궁 -> 북촌한옥마을 -> 창덕궁,3,4308,1007,943.6,0,0.2190343546889508
서울 종로구,경복궁 -> 북촌한옥마을 -> 창경궁,3,6049,1316,1209.8000000000002,0,0.20000000000000004
서울 종로구,경복궁 -> 북촌한옥마을 -> 광화문,3,5165,1082,1200.7,0,0.23246853823814134
서울 종로구,경복궁 -> 북촌한옥마을 -> 광화문광장,3,5377,1268,1264.3,0,0.23513111400409148
서울 종로구,경복궁 -> 북촌한옥마을 -> 청계천,3,5963,1538,1192.6,0,0.19999999999999998
서울 종로구,경복궁 -> 북촌한옥마을 -> 종묘,3,5103,1136,1182.1,0,0.23164805016656867
서울 종로구,경복궁 -> 북촌한옥마을 -> 청와대 사랑채,3,5243,1049,1224.1,0,0.23347320236505817
서울 종로구,경복궁 -> 북촌한옥마을 -> 흥인지문,3,6759,1524,1351.8000000000002,0,0.20000000000000004
서울 종로구,경복궁 -> 북촌한옥마을 -> 인왕산,3,9275,1742,1565.65,0,0.1688032345013477
서울 종로구,경복궁 -> 북촌한옥마을 -> 익선동한옥거리,3,4641,1097,1043.5,0,0.22484378366731309
서울 종로구,경복궁 -> 북촌한옥마을 -> 북악스카이웨이,3,8911,1598,1511.05,0,0.16957131635057793
서울 종로구,경복궁 -> 북촌한옥마을 -> 석파정,3,7888,1486,1577.6,0,0.19999999999999998
서울 종로구,경복궁 -> 북촌한옥마을 -> 경희궁,3,6515,1524,1303.0,0,0.2
