distance,duration,walk_distance,transfers,fare,region,walk_ratio
7503,2403,0,16,0,서울 종로구,0.0
8910,2430,0,16,0,서울 종로구,0.0
6601,2033,0,9,0,서울 종로구,0.0
7564,2327,0,13,0,서울 종로구,0.0
8342,2459,0,12,0,서울 종로구,0.0
6791,2112,0,14,0,서울 종로구,0.0
8020,2457,0,13,0,서울 종로구,0.0
10679,3285,0,13,0,서울 종로구,0.0
14523,3628,0,12,0,서울 종로구,0.0
6476,2216,0,15,0,서울 종로구,0.0
15600,3518,0,16,0,서울 종로구,0.0
13030,3059,0,17,0,서울 종로구,0.0
7563,2315,0,13,0,서울 종로구,0.0
9998,2696,0,22,0,서울 종로구,0.0
10337,2821,0,15,0,서울 종로구,0.0
6177,2154,0,14,0,서울 종로구,0.0
9437,2456,0,10,0,서울 종로구,0.0
6817,2299,0,12,0,서울 종로구,0.0
6399,2070,0,16,0,서울 종로구,0.0
10484,3197,0,15,0,서울 종로구,0.0
7803,2245,0,13,0,서울 종로구,0.0
6002,1978,0,12,0,서울 종로구,0.0
7831,2445,0,12,0,서울 종로구,0.0
6249,2119,0,11,0,서울 종로구,0.0
7161,2345,0,12,0,서울 종로구,0.0
8571,2668,0,14,0,서울 종로구,0.0
8572,2676,0,14,0,서울 종로구,0.0
7272,1874,0,11,0,서울 종로구,0.0
10186,2293,0,11,0,서울 종로구,0.0
8053,2009,0,7,0,서울 종로구,0.0
9016,2308,0,11,0,서울 종로구,0.0
9794,2429,0,10,0,서울 종로구,0.0
8067,1974,0,9,0,서울 종로구,0.0
8716,2104,0,8,0,서울 종로구,0.0
11955,3140,0,8,0,서울 종로구,0.0
15975,3607,0,10,0,서울 종로구,0.0
7752,2078,0,10,0,서울 종로구,0.0
16296,3167,0,11,0,서울 종로구,0.0
13504,2793,0,15,0,서울 종로구,0.0
9015,2295,0,11,0,서울 종로구,0.0
11274,2559,0,17,0,서울 종로구,0.0
11613,2684,0,10,0,서울 종로구,0.0
7453,2017,0,9,0,서울 종로구,0.0
10889,2433,0,8,0,서울 종로구,0.0
8093,2161,0,7,0,서울 종로구,0.0
7675,2026,0,13,0,서울 종로구,0.0
11760,3062,0,10,0,서울 종로구,0.0
9255,2217,0,11,0,서울 종로구,0.0
7396,1878,0,10,0,서울 종로구,0.0
9289,2284,0,10,0,서울 종로구,0.0
7525,2079,0,8,0,서울 종로구,0.0
8437,2302,0,9,0,서울 종로구,0.0
9847,2538,0,9,0,서울 종로구,0.0
9848,2538,0,9,0,서울 종로구,0.0
7425,1830,0,12,0,서울 종로구,0.0
9389,2429,0,14,0,서울 종로구,0.0
8487,2062,0,7,0,서울 종로구,0.0
9450,2352,0,11,0,서울 종로구,0.0
10228,2485,0,10,0,서울 종로구,0.0
8677,2134,0,12,0,서울 종로구,0.0
10443,2352,0,10,0,서울 종로구,0.0
10301,2818,0,9,0,서울 종로구,0.0
16409,3656,0,10,0,서울 종로구,0.0
8362,2240,0,13,0,서울 종로구,0.0
17803,3507,0,12,0,서울 종로구,0.0
14916,3090,0,15,0,서울 종로구,0.0
9449,2345,0,11,0,서울 종로구,0.0
9528,2310,0,16,0,서울 종로구,0.0
