route_id,region,itinerary_names,num_activities,total_distance_m,total_duration_sec,total_walk_distance_m,total_transfers,walk_ratio
1,서울 종로구,경복궁 -> 창덕궁 -> 북촌한옥마을,3,5299,1418,0,11,0.0
2,서울 종로구,경복궁 -> 창덕궁 -> 창경궁,3,4773,1268,0,10,0.0
3,서울 종로구,경복궁 -> 창덕궁 -> 광화문,3,3713,1014,0,6,0.0
4,서울 종로구,경복궁 -> 창덕궁 -> 광화문광장,3,3925,1207,0,7,0.0
5,서울 종로구,경복궁 -> 창덕궁 -> 청계천,3,4438,1503,0,8,0.0
6,서울 종로구,경복궁 -> 창덕궁 -> 종묘,3,3827,1091,0,8,0.0
7,서울 종로구,경복궁 -> 창덕궁 -> 청와대 사랑채,3,4547,1247,0,10,0.0
8,서울 종로구,경복궁 -> 창덕궁 -> 쌈지길,3,3656,1127,0,7,0.0
9,서울 종로구,경복궁 -> 창덕궁 -> 흥인지문,3,5483,1393,0,8,0.0
10,서울 종로구,경복궁 -> 창덕궁 -> 인왕산,3,7823,1631,0,8,0.0
11,서울 종로구,경복궁 -> 창덕궁 -> 익선동한옥거리,3,3365,1065,0,9,0.0
12,서울 종로구,경복궁 -> 창덕궁 -> 북악스카이웨이,3,8215,1754,0,11,0.0
13,서울 종로구,경복궁 -> 창덕궁 -> 석파정,3,7192,1736,0,13,0.0
14,서울 종로구,경복궁 -> 창덕궁 -> 경희궁,3,5063,1485,0,9,0.0
15,서울 종로구,경복궁 -> 창덕궁 -> 인사동 문화의거리,3,3145,1010,0,8,0.0
16,서울 종로구,경복궁 -> 창덕궁 -> 북한산둘레길 6구간평창마을길,3,9523,1870,0,10,0.0
17,서울 종로구,경복궁 -> 창덕궁 -> 창덕궁 후원,3,4773,1267,0,10,0.0
18,서울 종로구,경복궁 -> 창덕궁 -> 서촌한옥마을,3,4460,1176,0,9,0.0
19,서울 종로구,경복궁 -> 창덕궁 -> 운현궁,3,2949,1017,0,7,0.0
20,서울 종로구,경복궁 -> 창덕궁 -> 인왕산 수성동계곡,3,5399,1390,0,8,0.0
21,서울 종로구,경복궁 -> 창덕궁 -> 다이나믹메이즈 서울인사동점,3,3454,1105,0,9,0.0
22,서울 종로구,경복궁 -> 창덕궁 -> 백사실계곡,3,7842,1563,0,11,0.0
23,서울 종로구,경복궁 -> 창덕궁 -> 이화동 벽화마을,3,5221,1451,0,9,0.0
24,서울 종로구,경복궁 -> 북촌한옥마을 -> 창덕궁,3,3800,1005,0,6,0.0
25,서울 종로구,경복궁 -> 북촌한옥마을 -> 창경궁,3,5541,1338,0,6,0.0
26,서울 종로구,경복궁 -> 북촌한옥마을 -> 광화문,3,4657,1080,0,5,0.0
27,서울 종로구,경복궁 -> 북촌한옥마을 -> 광화문광장,3,4869,1274,0,6,0.0
28,서울 종로구,경복궁 -> 북촌한옥마을 -> 청계천,3,6251,1609,0,7,0.0
29,서울 종로구,경복궁 -> 북촌한옥마을 -> 종묘,3,4595,1167,0,4,0.0
30,서울 종로구,경복궁 -> 북촌한옥마을 -> 청와대 사랑채,3,4735,1047,0,6,0.0
31,서울 종로구,경복궁 -> 북촌한옥마을 -> 쌈지길,3,4922,1218,0,6,0.0
32,서울 종로구,경복궁 -> 북촌한옥마을 -> 흥인지문,3,6251,1476,0,4,0.0
33,서울 종로구,경복궁 -> 북촌한옥마을 -> 인왕산,3,8767,1704,0,7,0.0
34,서울 종로구,경복궁 -> 북촌한옥마을 -> 익선동한옥거리,3,4133,1142,0,5,0.0
35,서울 종로구,경복궁 -> 북촌한옥마을 -> 북악스카이웨이,3,8403,1553,0,7,0.0
36,서울 종로구,경복궁 -> 북촌한옥마을 -> 석파정,3,7380,1531,0,9,0.0
37,서울 종로구,경복궁 -> 북촌한옥마을 -> 경희궁,3,6007,1542,0,8,0.0
38,서울 종로구,경복궁 -> 북촌한옥마을 -> 인사동 문화의거리,3,3913,1086,0,4,0.0
39,서울 종로구,경복궁 -> 북촌한옥마을 -> 북한산둘레길 6구간평창마을길,3,9489,1773,0,9,0.0
40,서울 종로구,경복궁 -> 북촌한옥마을 -> 창덕궁 후원,3,3800,1005,0,6,0.0
41,서울 종로구,경복궁 -> 북촌한옥마을 -> 서촌한옥마을,3,5341,1170,0,8,0.0
42,서울 종로구,경복궁 -> 북촌한옥마을 -> 운현궁,3,3717,1094,0,4,0.0
43,서울 종로구,경복궁 -> 북촌한옥마을 -> 인왕산 수성동계곡,3,6040,1414,0,9,0.0
44,서울 종로구,경복궁 -> 북촌한옥마을 -> 다이나믹메이즈 서울인사동점,3,4222,1180,0,5,0.0
45,서울 종로구,경복궁 -> 북촌한옥마을 -> 백사실계곡,3,7808,1466,0,10,0.0
46,서울 종로구,경복궁 -> 북촌한옥마을 -> 이화동 벽화마을,3,5989,1521,0,5,0.0
47,서울 종로구,경복궁 -> 창경궁 -> 창덕궁,3,4461,806,0,6,0.0
48,서울 종로구,경복궁 -> 창경궁 -> 북촌한옥마을,3,7185,1404,0,9,0.0
